title,authors,average_rating,isbn,language_code,# num_pages
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,439785960,eng,652
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,439358078,eng,870
Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,439554934,eng,320
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,439554896,eng,352
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,eng,435
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,4.78,439682584,eng,2690
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.69,976540606,en-US,152
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,eng,3342
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,eng,815
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,345453743,eng,815
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,eng,215
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,739322206,eng,6
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,517149257,en-US,815
A Short History of Nearly Everything,Bill Bryson-William Roberts,4.2,076790818X,eng,544
Bill Bryson's African Diary,Bill Bryson,3.43,767915062,eng,55
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,767910435,eng,256
In a Sunburned Country,Bill Bryson,4.07,767903862,eng,335
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,eng,304
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,en-US,299
Neither Here nor There: Travels in Europe,Bill Bryson,3.87,380713802,eng,254
Notes from a Small Island,Bill Bryson,3.92,380727501,eng,324
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,380715430,eng,270
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,eng,1728
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618517650,eng,1184
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618346244,eng,1137
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,618346252,eng,398
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,4.49,618260587,en-US,1216
The Lord of the Rings: Weapons and Warfare,Chris   Smith-Christopher  Lee-Richard Taylor,4.53,618391002,eng,218
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,eng,224
The Lord of the Rings Box Set,J.R.R. Tolkien,4.49,618153977,eng,1223
Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,193337201X,eng,288
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,097669400X,eng,558
Hatchet,Gary Paulsen,3.7,689840926,eng,208
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,1557344493,eng,48
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,385326505,eng,144
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,eng,56
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.48,1595580271,en-US,228
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,1595962808,eng,304
Changeling (Changeling  #1),Delia Sherman,3.6,670059676,eng,256
The Changeling Sea,Patricia A. McKillip,4.07,141312629,eng,137
The Changeling,Zilpha Keatley Snyder,4.17,595321801,eng,228
The Changeling,Kate Horsley,3.56,1590301943,eng,339
The Changeling (Daughters of England  #15),Philippa Carr,3.99,449146979,eng,369
The Known World,Edward P. Jones,3.83,61159174,eng,388
The Known World,Edward P. Jones-Kevin R. Free,3.83,006076273X,en-US,14
The Known World,Edward P. Jones,3.83,60749911,eng,576
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,eng,334
Artesia: Adventures in the Known World,Mark Smylie,4.16,1932386106,eng,352
The Known World,Edward P. Jones,3.83,096513671X,eng,388
The John McPhee Reader (John McPhee Reader  #1),John McPhee-William Howarth,4.43,374517193,eng,416
Uncommon Carriers,John McPhee,3.95,374280398,en-US,248
Heirs of General Practice,John McPhee,4.15,374519749,eng,128
The Control of Nature,John McPhee,4.24,374522596,en-US,288
Annals of the Former World,John McPhee,4.33,374518734,eng,720
Coming Into the Country,John McPhee,4.22,374522871,eng,448
La Place de la Concorde Suisse,John McPhee,3.91,374519323,eng,160
Giving Good Weight,John McPhee,4.22,374516006,eng,288
Rising from the Plains,John McPhee,4.22,374520658,eng,208
The Heidi Chronicles,Wendy Wasserstein,3.73,822205106,eng,81
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.83,679734996,eng,249
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,eng,138
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.75,1581807740,en-US,128
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker-Rolland Baker,4.45,800793617,eng,192
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.7,871202867,en-US,72
Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,753454947,eng,352
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.28,871209993,eng,192
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker-Heidi Baker,4.45,1852402873,eng,192
What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,761129588,eng,832
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,972016414,eng,123
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.75,1581805632,en-US,128
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.83,441294677,eng,423
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.9,441102670,eng,436
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,441172695,eng,331
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4,765306476,en-US,592
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.85,399128980,eng,480
The Road to Dune (Dune Universe),Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,765353709,eng,426
Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,441104029,eng,408
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.85,441328008,eng,471
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,eng,544
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,eng,291
The Power of One: One Person  One Rule  One Month,John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,785260056,en-US,256
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.31,471780936,eng,205
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.79,325001537,eng,240
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.49,006076287X,eng,336
eBay for Dummies,Marsha Collier,3.5,470045299,eng,386
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta-Lisa Suttora,3.62,72262788,eng,260
Starting an eBay Business for Dummies,Marsha Collier,3.52,764569244,eng,384
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,eng,260
ebay Timesaving Techniques for Dummies,Marsha Collier,3.55,764559915,en-US,391
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,en-US,864
Ruby Cookbook,Lucas Carlson-Leonard Richardson,3.82,596523696,eng,873
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.09,806523492,eng,240
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,eng,206
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.65,596527314,eng,514
Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,143035002,eng,838
Anna Karenina,Leo Tolstoy-David Magarshack-Priscilla Meyer,4.04,451528611,eng,960
Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley,4.04,140449175,eng,837
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman-Leo Tolstoy,3.89,822001837,eng,80
Anna Karenina,Leo Tolstoy-Amy Mandelker-Constance Garnett,4.04,1593080271,eng,803
Anna Karenina,Leo Tolstoy-Louise Maude-Aylmer Maude,4.04,486437965,eng,752
Anna Karenina,Leo Tolstoy-Constance Garnett-Amy Mandelker,4.04,1593081774,eng,803
Dinner with Anna Karenina,Gloria Goldreich,2.96,778322270,eng,368
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,eng,128
Untouchable,Mulk Raj Anand-E.M. Forster,3.7,140183957,eng,160
The Untouchable,John Banville,3.96,679767479,eng,367
The Untouchables,Eliot Ness-Oscar Fraley,3.89,1568491980,eng,256
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,en-US,320
Dalit: The Black Untaouchables of India,V.T. Rajshekar-Y.N. Kly,4.33,932863051,eng,100
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon-Gail Omvedt-Eleanor Zelliot,3.58,742508803,eng,224
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,eng,216
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello-Patty Carratello-Theresa Wright,3.94,1557344035,eng,48
Wrinkles in Time,George Smoot-Keay Davidson,3.99,380720442,en-US,360
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.01,821925326,eng,250
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.57,043927169X,eng,32
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.01,606105263,spa,205
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.11,751506435,eng,367
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,eng,352
Long Way Round: Chasing Shadows Across the World,Ewan McGregor-Charley Boorman-Robert Uhlig,3.94,743499344,en-US,320
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,eng,331
New Hope for the Dead (Hoke Mosely #2),Charles Willeford-James Lee Burke,3.91,1400032490,eng,244
Sideswipe: A Hoke Moseley Novel,Charles Willeford-Lawrence Block,4.04,1400032482,eng,215
